TIMESTAMP,REPORT_NAME,EXECUTION_TIME_IN_SECONDS,STATUS
2025-01-20 08:23:52,duk008,692,SUCCESS
2025-01-21 08:13:22,duk008_xls,800,SUCCESS
2025-01-21 08:25:20,duk008,716,SUCCESS
2025-01-22 08:12:18,duk008_xls,736,SUCCESS
2025-01-22 08:23:52,duk008,692,SUCCESS
2025-01-23 08:12:31,duk008_xls,749,SUCCESS
2025-01-23 08:24:30,duk008,717,SUCCESS
2025-01-24 08:12:06,duk008_xls,724,SUCCESS
2025-01-24 08:23:39,duk008,690,SUCCESS
2025-01-25 08:13:00,duk008_xls,778,SUCCESS
2025-01-25 08:25:59,duk008,777,SUCCESS
2025-01-26 08:12:07,duk008_xls,725,SUCCESS
2025-01-26 08:23:30,duk008,681,SUCCESS
2025-01-27 08:12:19,duk008_xls,737,SUCCESS
2025-01-27 08:24:56,duk008,754,SUCCESS
2025-01-28 08:12:06,duk008_xls,725,SUCCESS
2025-01-28 08:23:39,duk008,690,SUCCESS
2025-01-29 08:12:06,duk008_xls,724,SUCCESS
2025-01-29 08:23:39,duk008,690,SUCCESS
2025-01-30 08:12:18,duk008_xls,736,SUCCESS
2025-01-30 08:24:04,duk008,704,SUCCESS
2025-01-31 08:12:18,duk008_xls,737,SUCCESS
2025-01-31 08:23:51,duk008,690,SUCCESS
2025-02-01 08:12:19,duk008_xls,737,SUCCESS
2025-02-01 08:23:52,duk008,691,SUCCESS
2025-02-02 08:13:25,duk008_xls,803,SUCCESS
2025-02-02 08:20:14,duk008,406,FAIL
2025-02-02 08:28:02,duk008,405,FAIL
2025-02-02 08:40:21,duk008,678,SUCCESS
2025-02-03 08:12:07,duk008_xls,725,SUCCESS
2025-02-03 08:18:55,duk008,406,FAIL
2025-02-03 08:31:26,duk008,689,SUCCESS
2025-02-04 08:13:36,duk008_xls,814,SUCCESS
2025-02-04 08:27:12,duk008,813,SUCCESS
2025-02-05 08:11:30,duk008_xls,688,SUCCESS
2025-02-05 08:23:11,duk008,698,SUCCESS
2025-02-05 13:11:22,duk008,703,SUCCESS
2025-02-05 13:23:03,duk008_xls,699,SUCCESS
2025-02-06 08:13:51,duk008_xls,829,SUCCESS
2025-02-06 08:26:25,duk008,753,SUCCESS
2025-02-07 08:11:24,duk008_xls,682,SUCCESS
2025-02-07 08:22:47,duk008,681,SUCCESS
2025-02-07 16:00:26,duk008_xls,709,SUCCESS
2025-02-07 16:11:34,duk008,667,SUCCESS
2025-02-08 08:13:48,duk008_xls,827,SUCCESS
2025-02-08 08:24:55,duk008,665,SUCCESS
2025-02-09 08:11:50,duk008_xls,709,SUCCESS
2025-02-09 08:22:56,duk008,664,SUCCESS
2025-02-10 08:12:25,duk008_xls,743,SUCCESS
